# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Sec/SPII)	PILIN(Sec/SPIII)	CS Position
prot_1	OTHER	1.000006	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10	OTHER	1.000007	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_100	SP	0.001010	0.996600	0.001846	0.000224	0.000176	0.000160	CS pos: 35-36. Pr: 0.9725
prot_1000	LIPO	0.000000	0.000000	1.000030	0.000000	0.000000	0.000000	CS pos: 20-21. Pr: 0.9970
prot_10000	OTHER	0.999961	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10001	SP	0.000306	0.998915	0.000240	0.000216	0.000163	0.000173	CS pos: 21-22. Pr: 0.9787
prot_10002	TAT	0.000000	0.000000	0.000000	0.833425	0.166570	0.000000	CS pos: 43-44. Pr: 0.5951
prot_10003	OTHER	0.999929	0.000016	0.000000	0.000000	0.000000	0.000000	
prot_10004	OTHER	1.000039	0.000012	0.000000	0.000000	0.000000	0.000000	
prot_10005	OTHER	1.000008	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10006	LIPO	0.000000	0.000000	1.000033	0.000000	0.000000	0.000000	CS pos: 18-19. Pr: 0.9938
prot_10007	LIPO	0.000000	0.000000	1.000027	0.000000	0.000000	0.000000	CS pos: 18-19. Pr: 0.9977
prot_10008	LIPO	0.001804	0.392047	0.605992	0.000041	0.000042	0.000037	CS pos: 41-42. Pr: 0.6412
prot_10009	SP	0.000284	0.832371	0.166743	0.000248	0.000186	0.000198	CS pos: 19-20. Pr: 0.8079
prot_1001	SP	0.000330	0.998864	0.000225	0.000233	0.000176	0.000168	CS pos: 45-46. Pr: 0.9644
prot_10010	OTHER	1.000018	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10011	OTHER	0.999995	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10012	OTHER	0.999977	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10013	OTHER	1.000038	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10014	OTHER	0.500152	0.499346	0.000159	0.000132	0.000106	0.000092	
prot_10015	SP	0.000177	0.999273	0.000154	0.000166	0.000134	0.000132	CS pos: 20-21. Pr: 0.9802
prot_10016	LIPO	0.000000	0.000000	1.000036	0.000000	0.000000	0.000000	CS pos: 20-21. Pr: 0.9942
prot_10017	SP	0.000341	0.998403	0.000637	0.000259	0.000199	0.000191	CS pos: 27-28. Pr: 0.9651
prot_10018	LIPO	0.000000	0.000000	1.000026	0.000000	0.000000	0.000000	CS pos: 20-21. Pr: 0.9961
prot_10019	OTHER	0.836191	0.163639	0.000048	0.000037	0.000037	0.000029	
prot_1002	LIPO	0.000000	0.000000	1.000021	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9972
prot_10020	LIPO	0.000000	0.000000	1.000039	0.000000	0.000000	0.000000	CS pos: 23-24. Pr: 0.9974
prot_10021	OTHER	1.000029	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10022	LIPO	0.000013	0.000149	0.999833	0.000001	0.000000	0.000000	CS pos: 31-32. Pr: 0.9965
prot_10023	OTHER	1.000011	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10024	OTHER	0.999998	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10025	SP	0.000195	0.999161	0.000183	0.000178	0.000142	0.000140	CS pos: 19-20. Pr: 0.9768
prot_10026	SP	0.000260	0.999084	0.000198	0.000197	0.000151	0.000145	CS pos: 17-18. Pr: 0.9677
prot_10027	TATLIPO	0.000000	0.000000	0.000002	0.062004	0.938012	0.000000	CS pos: 39-40. Pr: 0.7624
prot_10028	OTHER	0.963144	0.000000	0.000000	0.000000	0.000000	0.036871	
prot_10029	LIPO	0.004201	0.091466	0.904280	0.000041	0.000001	0.000000	CS pos: 37-38. Pr: 0.9876
prot_1003	SP	0.000188	0.999225	0.000170	0.000167	0.000133	0.000134	CS pos: 22-23. Pr: 0.9754
prot_10030	SP	0.000289	0.998891	0.000227	0.000226	0.000187	0.000174	CS pos: 44-45. Pr: 0.9635
prot_10031	OTHER	0.832007	0.000000	0.001332	0.000000	0.000000	0.166677	
prot_10032	LIPO	0.017768	0.066427	0.913108	0.002544	0.000101	0.000059	CS pos: 36-37. Pr: 0.9969
prot_10033	SP	0.000221	0.999087	0.000194	0.000184	0.000148	0.000150	CS pos: 25-26. Pr: 0.9789
prot_10034	OTHER	0.726491	0.001779	0.271742	0.000002	0.000002	0.000001	
prot_10035	SP	0.000933	0.998144	0.000297	0.000234	0.000200	0.000190	CS pos: 45-46. Pr: 0.7823
prot_10036	OTHER	0.999971	0.000029	0.000000	0.000000	0.000000	0.000000	
prot_10037	SP	0.002646	0.996448	0.000274	0.000232	0.000189	0.000184	CS pos: 50-51. Pr: 0.6916
prot_10038	OTHER	0.999977	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10039	OTHER	0.999971	0.000000	0.000003	0.000000	0.000000	0.000000	
prot_1004	LIPO	0.000987	0.007855	0.991089	0.000054	0.000011	0.000005	CS pos: 26-27. Pr: 0.9963
prot_10040	TATLIPO	0.000000	0.000000	0.000000	0.000000	1.000012	0.000000	CS pos: 40-41. Pr: 0.7817
prot_10041	LIPO	0.000000	0.000000	1.000012	0.000000	0.000000	0.000000	CS pos: 27-28. Pr: 0.9939
prot_10042	SP	0.000728	0.998013	0.000441	0.000315	0.000269	0.000244	CS pos: 21-22. Pr: 0.9723
prot_10043	SP	0.000185	0.999234	0.000159	0.000162	0.000136	0.000131	CS pos: 22-23. Pr: 0.9812
prot_10044	SP	0.000143	0.832936	0.166646	0.000105	0.000090	0.000094	CS pos: 24-25. Pr: 0.8162
prot_10045	OTHER	1.000020	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10046	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10047	SP	0.167100	0.831775	0.000313	0.000347	0.000251	0.000208	CS pos: 41-42. Pr: 0.7526
prot_10048	OTHER	1.000032	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10049	OTHER	0.999999	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1005	SP	0.000533	0.998389	0.000359	0.000292	0.000241	0.000212	CS pos: 25-26. Pr: 0.9732
prot_10050	OTHER	0.999992	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10051	LIPO	0.027672	0.084117	0.887959	0.000186	0.000061	0.000005	CS pos: 42-43. Pr: 0.9957
prot_10052	OTHER	1.000009	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10053	OTHER	1.000002	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10054	SP	0.000206	0.999212	0.000164	0.000169	0.000136	0.000133	CS pos: 27-28. Pr: 0.9816
prot_10055	OTHER	1.000002	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10056	OTHER	0.999977	0.000001	0.000000	0.000000	0.000000	0.000000	
prot_10057	SP	0.000196	0.999225	0.000160	0.000166	0.000135	0.000127	CS pos: 23-24. Pr: 0.9782
prot_10058	TATLIPO	0.000000	0.000000	0.000000	0.000000	1.000004	0.000000	CS pos: 24-25. Pr: 0.8657
prot_10059	OTHER	0.833389	0.166489	0.000036	0.000027	0.000028	0.000027	
prot_1006	SP	0.000352	0.998481	0.000427	0.000291	0.000211	0.000249	CS pos: 32-33. Pr: 0.9731
prot_10060	OTHER	1.000045	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10061	LIPO	0.434346	0.099638	0.465487	0.000071	0.000447	0.000006	CS pos: 58-59. Pr: 0.5392
prot_10062	OTHER	1.000012	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10063	SP	0.000425	0.998810	0.000218	0.000222	0.000166	0.000160	CS pos: 38-39. Pr: 0.9054
prot_10064	OTHER	0.999981	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10065	OTHER	1.000047	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10066	OTHER	1.000038	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10067	SP	0.168245	0.671024	0.159776	0.000356	0.000324	0.000282	CS pos: 26-27. Pr: 0.4702
prot_10068	OTHER	1.000025	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10069	OTHER	1.000007	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1007	SP	0.000220	0.999089	0.000198	0.000188	0.000152	0.000157	CS pos: 20-21. Pr: 0.9703
prot_10070	OTHER	0.833172	0.000000	0.000180	0.000000	0.000000	0.166675	
prot_10071	SP	0.010820	0.988405	0.000221	0.000224	0.000167	0.000169	CS pos: 39-40. Pr: 0.9574
prot_10072	LIPO	0.000000	0.000000	1.000017	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9976
prot_10073	OTHER	1.000021	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10074	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10075	OTHER	0.999990	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10076	OTHER	0.999991	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10077	OTHER	0.999988	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10078	SP	0.000269	0.999005	0.000198	0.000194	0.000162	0.000167	CS pos: 31-32. Pr: 0.9745
prot_10079	OTHER	1.000024	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1008	OTHER	1.000032	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10080	LIPO	0.000158	0.166253	0.833464	0.000049	0.000048	0.000044	CS pos: 23-24. Pr: 0.8310
prot_10081	SP	0.000212	0.833280	0.166171	0.000121	0.000102	0.000103	CS pos: 26-27. Pr: 0.8140
prot_10082	OTHER	1.000028	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10083	LIPO	0.000001	0.000023	0.999999	0.000001	0.000000	0.000000	CS pos: 25-26. Pr: 0.9960
prot_10084	LIPO	0.000067	0.000133	0.999777	0.000004	0.000001	0.000000	CS pos: 30-31. Pr: 0.9975
prot_10085	OTHER	0.999976	0.000000	0.000002	0.000001	0.000001	0.000000	
prot_10086	OTHER	1.000007	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10087	OTHER	1.000004	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10088	SP	0.000467	0.998547	0.000291	0.000268	0.000204	0.000207	CS pos: 46-47. Pr: 0.9202
prot_10089	TATLIPO	0.000000	0.000001	0.000229	0.000011	0.999762	0.000000	CS pos: 44-45. Pr: 0.7461
prot_1009	OTHER	0.999991	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10090	SP	0.000178	0.999235	0.000160	0.000162	0.000136	0.000133	CS pos: 23-24. Pr: 0.9806
prot_10091	SP	0.002426	0.997002	0.000169	0.000162	0.000136	0.000139	CS pos: 37-38. Pr: 0.9682
prot_10092	SP	0.000212	0.999143	0.000180	0.000183	0.000151	0.000141	CS pos: 22-23. Pr: 0.9795
prot_10093	OTHER	0.993610	0.005895	0.000032	0.000003	0.000002	0.000472	
prot_10094	LIPO	0.000000	0.000000	0.999987	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9978
prot_10095	OTHER	0.999971	0.000001	0.000000	0.000000	0.000000	0.000000	
prot_10096	OTHER	0.833348	0.001861	0.164768	0.000002	0.000001	0.000001	
prot_10097	SP	0.000296	0.998906	0.000215	0.000245	0.000189	0.000165	CS pos: 32-33. Pr: 0.9748
prot_10098	OTHER	1.000027	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10099	OTHER	1.000031	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_101	LIPO	0.000008	0.000259	0.999734	0.000000	0.000000	0.000000	CS pos: 30-31. Pr: 0.9942
prot_1010	OTHER	0.999961	0.000019	0.000000	0.000000	0.000000	0.000000	
prot_10100	OTHER	0.999994	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10101	OTHER	0.999981	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10102	OTHER	1.000083	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10103	OTHER	0.999985	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10104	OTHER	1.000004	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10105	OTHER	0.999999	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10106	OTHER	0.999996	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10107	OTHER	1.000011	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10108	OTHER	1.000006	0.000002	0.000000	0.000000	0.000000	0.000000	
prot_10109	OTHER	1.000006	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1011	OTHER	1.000003	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10110	OTHER	0.999997	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10111	OTHER	1.000032	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10112	SP	0.000183	0.999256	0.000151	0.000162	0.000127	0.000126	CS pos: 39-40. Pr: 0.9702
prot_10113	OTHER	0.999961	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10114	SP	0.010058	0.987191	0.000927	0.000656	0.000568	0.000613	CS pos: 20-21. Pr: 0.9723
prot_10115	LIPO	0.000000	0.000000	1.000003	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9980
prot_10116	OTHER	1.000030	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10117	SP	0.000346	0.998671	0.000305	0.000269	0.000203	0.000223	CS pos: 20-21. Pr: 0.9661
prot_10118	OTHER	1.000019	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10119	OTHER	0.999947	0.000027	0.000000	0.000000	0.000000	0.000000	
prot_1012	OTHER	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10120	SP	0.000243	0.999012	0.000231	0.000201	0.000165	0.000166	CS pos: 21-22. Pr: 0.9750
prot_10121	OTHER	1.000001	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10122	OTHER	1.000031	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10123	OTHER	1.000012	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10124	SP	0.000298	0.998843	0.000256	0.000236	0.000181	0.000181	CS pos: 29-30. Pr: 0.9698
prot_10125	OTHER	0.979678	0.020302	0.000012	0.000009	0.000009	0.000007	
prot_10126	OTHER	1.000032	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10127	OTHER	1.000017	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10128	OTHER	1.000012	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10129	OTHER	1.000015	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_1013	LIPO	0.000000	0.000000	1.000006	0.000000	0.000000	0.000000	CS pos: 21-22. Pr: 0.9953
prot_10130	SP	0.167277	0.829781	0.000757	0.000834	0.000752	0.000619	CS pos: 21-22. Pr: 0.8058
prot_10131	OTHER	1.000066	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10132	OTHER	0.999986	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10133	SP	0.000285	0.998900	0.000229	0.000228	0.000187	0.000189	CS pos: 39-40. Pr: 0.9711
prot_10134	OTHER	0.999974	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10135	OTHER	0.999975	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10136	OTHER	0.999985	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10137	TATLIPO	0.000000	0.000000	0.000000	0.000588	0.999402	0.000000	CS pos: 50-51. Pr: 0.7734
prot_10138	OTHER	0.999975	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10139	LIPO	0.166623	0.073782	0.759599	0.000001	0.000000	0.000000	CS pos: 52-53. Pr: 0.9653
prot_1014	LIPO	0.000000	0.000000	1.000022	0.000000	0.000000	0.000000	CS pos: 22-23. Pr: 0.9946
prot_10140	OTHER	1.000022	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10141	OTHER	0.999990	0.000003	0.000000	0.000000	0.000000	0.000000	
prot_10142	OTHER	0.999981	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10143	OTHER	1.000011	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10144	OTHER	0.999974	0.000016	0.000000	0.000000	0.000000	0.000000	
prot_10145	OTHER	1.000012	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10146	LIPO	0.000000	0.000000	1.000018	0.000000	0.000000	0.000000	CS pos: 18-19. Pr: 0.9968
prot_10147	OTHER	0.472390	0.352143	0.175263	0.000060	0.000060	0.000052	
prot_10148	OTHER	1.000024	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10149	SP	0.000203	0.999186	0.000170	0.000170	0.000140	0.000142	CS pos: 31-32. Pr: 0.9772
prot_1015	LIPO	0.000000	0.000000	1.000013	0.000000	0.000000	0.000000	CS pos: 23-24. Pr: 0.9947
prot_10150	OTHER	0.999977	0.000000	0.000000	0.000000	0.000000	0.000000	
prot_10151	LIPO	0.000043	0.333176	0.666734	0.000032	0.000027	0.000026	CS pos: 17-18. Pr: 0.6501
